Date;21864 - Physical Production - Intermediate goods - Index
01/2002;77.2
02/2002;74.8
03/2002;83.3
04/2002;84.3
05/2002;87.0
06/2002;85.3
07/2002;89.7
08/2002;89.1
09/2002;86.9
10/2002;91.8
11/2002;86.5
12/2002;78.4
01/2003;80.4
02/2003;77.6
03/2003;87.1
04/2003;84.5
05/2003;87.9
06/2003;84.5
07/2003;89.2
08/2003;88.9
09/2003;91.4
10/2003;94.0
11/2003;86.8
12/2003;81.5
01/2004;82.9
02/2004;81.0
03/2004;93.3
04/2004;89.1
05/2004;94.0
06/2004;93.3
07/2004;98.0
08/2004;98.4
09/2004;96.9
10/2004;98.3
11/2004;93.6
12/2004;87.0
01/2005;85.9
02/2005;81.3
03/2005;92.6
04/2005;91.8
05/2005;96.5
06/2005;96.3
07/2005;96.4
08/2005;99.3
09/2005;95.8
10/2005;97.4
11/2005;93.2
12/2005;87.2
01/2006;88.0
02/2006;83.1
03/2006;95.2
04/2006;90.3
05/2006;99.9
06/2006;95.6
07/2006;99.3
08/2006;102.0
09/2006;96.0
10/2006;98.5
11/2006;95.6
12/2006;88.1
01/2007;90.5
02/2007;85.6
03/2007;99.3
04/2007;94.7
05/2007;102.5
06/2007;100.2
07/2007;103.6
08/2007;105.9
09/2007;99.1
10/2007;106.9
11/2007;99.7
12/2007;93.8
01/2008;97.4
02/2008;94.4
03/2008;99.9
04/2008;100.1
05/2008;105.0
06/2008;105.3
07/2008;111.3
08/2008;107.6
09/2008;105.2
10/2008;104.1
11/2008;92.5
12/2008;77.6
01/2009;78.7
02/2009;75.8
03/2009;87.8
04/2009;85.4
05/2009;91.7
06/2009;93.8
07/2009;99.0
08/2009;100.1
09/2009;98.7
10/2009;102.7
11/2009;97.7
12/2009;92.9
01/2010;93.5
02/2010;89.2
03/2010;103.0
04/2010;99.8
05/2010;105.2
06/2010;104.7
07/2010;109.4
08/2010;107.7
09/2010;103.9
10/2010;105.1
11/2010;102.6
12/2010;95.1
01/2011;94.2
02/2011;93.0
03/2011;103.1
04/2011;98.4
05/2011;107.2
06/2011;104.3
07/2011;106.8
08/2011;108.7
09/2011;104.2
10/2011;104.8
11/2011;100.8
12/2011;94.1
01/2012;90.2
02/2012;89.9
03/2012;97.5
04/2012;92.5
05/2012;102.9
06/2012;100.1
07/2012;106.0
08/2012;111.4
09/2012;104.2
10/2012;110.5
11/2012;102.5
12/2012;92.5
01/2013;93.9
02/2013;86.7
03/2013;95.9
04/2013;98.8
05/2013;104.1
06/2013;100.8
07/2013;107.8
08/2013;110.5
09/2013;104.6
10/2013;108.5
11/2013;103.0
12/2013;90.1
01/2014;91.2
02/2014;87.7
03/2014;96.0
04/2014;94.3
05/2014;100.9
06/2014;98.2
07/2014;104.4
08/2014;107.3
09/2014;103.4
10/2014;106.3
11/2014;97.1
12/2014;88.8
01/2015;89.3
02/2015;84.3
03/2015;94.3
04/2015;91.3
05/2015;96.3
06/2015;97.1
07/2015;99.0
08/2015;102.2
09/2015;96.0
10/2015;98.9
11/2015;86.9
12/2015;78.7
01/2016;78.9
02/2016;77.5
03/2016;83.8
04/2016;84.5
05/2016;88.8
06/2016;90.2
07/2016;94.3
08/2016;95.6
09/2016;92.5
10/2016;91.8
11/2016;86.1
12/2016;78.1
01/2017;79.9
02/2017;76.1
03/2017;84.9
04/2017;82.0
05/2017;91.9
06/2017;91.4
07/2017;95.3
08/2017;97.4
09/2017;94.4
10/2017;95.0
11/2017;89.9
12/2017;81.8
01/2018;83.4
02/2018;76.9
03/2018;84.5
04/2018;85.9
05/2018;87.3
06/2018;92.9
07/2018;98.5
08/2018;98.1
09/2018;91.4
10/2018;94.1
11/2018;88.2
12/2018;79.3
01/2019;82.6
02/2019;76.8
03/2019;80.8
04/2019;81.0
05/2019;90.0
06/2019;87.1
07/2019;93.4
08/2019;96.2
09/2019;91.5
10/2019;94.2
