Date;21863 - Physical Production - Capital goods - Index
01/2002;51.7
02/2002;50.4
03/2002;57.4
04/2002;61.2
05/2002;59.2
06/2002;54.8
07/2002;60.3
08/2002;57.3
09/2002;57.4
10/2002;63.0
11/2002;59.3
12/2002;52.0
01/2003;50.9
02/2003;53.5
03/2003;52.6
04/2003;53.9
05/2003;55.8
06/2003;53.1
07/2003;58.4
08/2003;57.9
09/2003;63.2
10/2003;70.4
11/2003;70.8
12/2003;59.6
01/2004;58.3
02/2004;58.4
03/2004;73.7
04/2004;67.7
05/2004;72.3
06/2004;71.9
07/2004;74.0
08/2004;76.2
09/2004;73.6
10/2004;74.8
11/2004;75.5
12/2004;68.5
01/2005;62.9
02/2005;60.0
03/2005;74.8
04/2005;70.5
05/2005;75.7
06/2005;78.4
07/2005;70.7
08/2005;78.2
09/2005;77.6
10/2005;75.4
11/2005;77.6
12/2005;71.7
01/2006;65.7
02/2006;65.7
03/2006;80.5
04/2006;69.3
05/2006;79.9
06/2006;75.8
07/2006;77.0
08/2006;84.0
09/2006;77.3
10/2006;82.1
11/2006;83.6
12/2006;76.9
01/2007;77.3
02/2007;74.8
03/2007;90.7
04/2007;81.2
05/2007;95.1
06/2007;88.5
07/2007;92.0
08/2007;101.9
09/2007;94.3
10/2007;104.6
11/2007;102.6
12/2007;90.6
01/2008;90.6
02/2008;94.1
03/2008;102.8
04/2008;106.2
05/2008;102.4
06/2008;110.0
07/2008;114.9
08/2008;114.5
09/2008;119.9
10/2008;124.8
11/2008;110.0
12/2008;80.1
01/2009;79.6
02/2009;73.4
03/2009;82.9
04/2009;77.1
05/2009;81.5
06/2009;84.3
07/2009;88.4
08/2009;88.8
09/2009;94.8
10/2009;104.1
11/2009;106.9
12/2009;99.1
01/2010;89.6
02/2010;91.2
03/2010;114.9
04/2010;104.6
05/2010;110.3
06/2010;106.5
07/2010;108.8
08/2010;114.0
09/2010;111.5
10/2010;111.7
11/2010;118.3
12/2010;105.3
01/2011;96.1
02/2011;109.1
03/2011;116.9
04/2011;104.3
05/2011;118.3
06/2011;114.5
07/2011;114.2
08/2011;126.2
09/2011;113.6
10/2011;113.6
11/2011;116.0
12/2011;108.3
01/2012;79.8
02/2012;98.4
03/2012;112.7
04/2012;97.5
05/2012;106.7
06/2012;96.8
07/2012;103.5
08/2012;110.7
09/2012;96.1
10/2012;108.8
11/2012;100.2
12/2012;88.9
01/2013;98.8
02/2013;103.4
03/2013;113.7
04/2013;120.1
05/2013;114.9
06/2013;112.1
07/2013;117.0
08/2013;122.1
09/2013;119.2
10/2013;127.1
11/2013;113.0
12/2013;85.0
01/2014;99.7
02/2014;112.3
03/2014;106.2
04/2014;103.5
05/2014;104.8
06/2014;89.0
07/2014;105.9
08/2014;104.1
09/2014;107.1
10/2014;111.7
11/2014;100.9
12/2014;75.5
01/2015;84.2
02/2015;83.8
03/2015;93.7
04/2015;80.1
05/2015;77.9
06/2015;74.3
07/2015;76.7
08/2015;70.2
09/2015;73.9
10/2015;75.4
11/2015;69.8
12/2015;51.6
01/2016;54.7
02/2016;63.4
03/2016;72.8
04/2016;68.1
05/2016;70.5
06/2016;73.5
07/2016;68.6
08/2016;74.4
09/2016;70.9
10/2016;69.2
11/2016;72.0
12/2016;60.4
01/2017;58.2
02/2017;65.8
03/2017;76.1
04/2017;64.3
05/2017;76.1
06/2017;74.1
07/2017;73.8
08/2017;81.3
09/2017;75.5
10/2017;79.8
11/2017;77.9
12/2017;66.5
01/2018;68.4
02/2018;70.6
03/2018;83.0
04/2018;79.4
05/2018;71.3
06/2018;80.6
07/2018;79.2
08/2018;89.0
09/2018;78.6
10/2018;88.1
11/2018;79.9
12/2018;63.2
01/2019;63.7
02/2019;75.6
03/2019;73.7
04/2019;79.3
05/2019;86.4
06/2019;77.1
07/2019;84.4
08/2019;85.9
09/2019;79.2
10/2019;85.4
