Data,Dívida - total - setor público - líquida - (% PIB) - Banco Central do Brasil- Notas Econômico-financeiras para a Imprensa- Finanças Públicas (Bacen/Notas Imprensa/F. Púb) - BM12_DTSPY12,
2001.12,51.49,
2002.01,52.28,
2002.02,51.43,
2002.03,51.01,
2002.04,50.95,
2002.05,52.17,
2002.06,54.54,
2002.07,58.79,
2002.08,55.91,
2002.09,62.45,
2002.10,60.4,
2002.11,59.85,
2002.12,59.93,
2003.01,59.91,
2003.02,60.2,
2003.03,58.46,
2003.04,54.43,
2003.05,54.96,
2003.06,54.42,
2003.07,55.06,
2003.08,55.43,
2003.09,54.73,
2003.10,53.91,
2003.11,54.36,
2003.12,54.26,
2004.01,54.03,
2004.02,53.75,
2004.03,53.19,
2004.04,52.99,
2004.05,53.53,
2004.06,52.83,
2004.07,52.02,
2004.08,51.37,
2004.09,50.86,
2004.10,50.76,
2004.11,50.06,
2004.12,50.19,
2005.01,49.57,
2005.02,49.32,
2005.03,49.31,
2005.04,48.29,
2005.05,47.91,
2005.06,48.04,
2005.07,48.15,
2005.08,47.98,
2005.09,47.65,
2005.10,47.53,
2005.11,47.43,
2005.12,47.92,
2006.01,47.78,
2006.02,47.72,
2006.03,47.66,
2006.04,47.2,
2006.05,47.09,
2006.06,46.96,
2006.07,46.81,
2006.08,46.59,
2006.09,46.57,
2006.10,46.19,
2006.11,46.02,
2006.12,46.49,
2007.01,45.94,
2007.02,45.85,
2007.03,45.81,
2007.04,45.09,
2007.05,45.24,
2007.06,44.8,
2007.07,44.74,
2007.08,44.1,
2007.09,44.59,
2007.10,44.59,
2007.11,44.1,
2007.12,44.55,
2008.01,43.71,
2008.02,43.8,
2008.03,43,
2008.04,42.82,
2008.05,43.03,
2008.06,42.89,
2008.07,42.68,
2008.08,41.98,
2008.09,39.96,
2008.10,38.31,
2008.11,36.96,
2008.12,37.57,
2009.01,38.04,
2009.02,38,
2009.03,38.04,
2009.04,38.65,
2009.05,39.65,
2009.06,39.98,
2009.07,40.68,
2009.08,40.66,
2009.09,41.56,
2009.10,41.46,
2009.11,40.99,
2009.12,40.88,
2010.01,39.6,
2010.02,39.81,
2010.03,39.91,
2010.04,39.48,
2010.05,38.98,
2010.06,38.89,
2010.07,39,
2010.08,38.76,
2010.09,38.22,
2010.10,37.88,
2010.11,37.74,
2010.12,37.98,
2011.01,37.56,
2011.02,37.48,
2011.03,37.53,
2011.04,37.42,
2011.05,37.28,
2011.06,37.08,
2011.07,36.8,
2011.08,36.52,
2011.09,34.67,
2011.10,35.64,
2011.11,34.76,
2011.12,34.47,
2012.01,35.02,
2012.02,35.19,
2012.03,34.26,
2012.04,33.49,
2012.05,32.74,
2012.06,32.78,
2012.07,32.51,
2012.08,32.6,
2012.09,32.62,
2012.10,32.46,
2012.11,32.1,
2012.12,32.19,
2013.01,32.16,
2013.02,32.57,
2013.03,32.4,
2013.04,32.16,
2013.05,31.53,
2013.06,31.19,
2013.07,30.79,
2013.08,30.58,
2013.09,31.51,
2013.10,31.61,
2013.11,30.58,
2013.12,30.5,
2014.01,30,
2014.02,30.35,
2014.03,30.78,
2014.04,30.76,
2014.05,31.08,
2014.06,31.48,
2014.07,31.62,
2014.08,32.15,
2014.09,32.07,
2014.10,32.22,
2014.11,32.17,
2014.12,32.59,
2015.01,32.5,
2015.02,32.31,
2015.03,31.58,
2015.04,32.34,
2015.05,32.39,
2015.06,33.22,
2015.07,32.91,
2015.08,32.47,
2015.09,32.01,
2015.10,33.05,
2015.11,33.89,
2015.12,35.64,
2016.01,35.33,
2016.02,36.27,
2016.03,38.34,
2016.04,38.92,
2016.05,39.15,
2016.06,41.36,
2016.07,41.9,
2016.08,42.76,
2016.09,43.65,
2016.10,43.96,
2016.11,44.1,
2016.12,46.14,
2017.01,46.41,
2017.02,47.18,
2017.03,47.5,
2017.04,47.45,
2017.05,47.96,
2017.06,48.38,
2017.07,49.62,
2017.08,50.05,
2017.09,50.7,
2017.10,50.5,
2017.11,50.83,
2017.12,51.39,
2018.01,51.5,
2018.02,51.75,
2018.03,52.07,
2018.04,51.54,
2018.05,51.04,
2018.06,51.18,
2018.07,51.87,
2018.08,50.97,
2018.09,52.02,
2018.10,53.16,
2018.11,52.99,
2018.12,53.65,
2019.01,54.04,
2019.02,54.05,
2019.03,53.98,
2019.04,53.97,
2019.05,54.17,
2019.06,54.76,
2019.07,55.23,
2019.08,54.3,
2019.09,54.63,
2019.10,55.17,
2019.11,54.81,
