Data,Empregados - saldo - Pessoa - Ministério do Trabalho e Emprego- Cadastro Geral de Empregados e Desempregados (MTE/CAGED) - CAGED12_SALDO12,
1999.05,97182,
1999.06,58109,
1999.07,8057,
1999.08,13306,
1999.09,7207,
1999.10,17439,
1999.11,-16170,
1999.12,-243121,
2000.01,31198,
2000.02,88175,
2000.03,39947,
2000.04,125071,
2000.05,162837,
2000.06,142884,
2000.07,105842,
2000.08,78845,
2000.09,92678,
2000.10,15442,
2000.11,466,
2000.12,-225789,
2001.01,48796,
2001.02,80243,
2001.03,34484,
2001.04,139997,
2001.05,161898,
2001.06,108571,
2001.07,71386,
2001.08,47327,
2001.09,80028,
2001.10,77187,
2001.11,-4915,
2001.12,-253923,
2002.01,44228,
2002.02,82013,
2002.03,90260,
2002.04,175090,
2002.05,155813,
2002.06,133346,
2002.07,61227,
2002.08,78022,
2002.09,167312,
2002.10,36368,
2002.11,-11751,
2002.12,-249514,
2003.01,35485,
2003.02,84029,
2003.03,21261,
2003.04,154024,
2003.05,140313,
2003.06,125795,
2003.07,37233,
2003.08,79772,
2003.09,161765,
2003.10,70870,
2003.11,34804,
2003.12,-299918,
2004.01,100106,
2004.02,139074,
2004.03,108212,
2004.04,187547,
2004.05,291822,
2004.06,207895,
2004.07,202033,
2004.08,229757,
2004.09,199742,
2004.10,130159,
2004.11,79022,
2004.12,-352093,
2005.01,115972,
2005.02,73285,
2005.03,102965,
2005.04,266095,
2005.05,212450,
2005.06,195536,
2005.07,117473,
2005.08,135460,
2005.09,189458,
2005.10,118175,
2005.11,13831,
2005.12,-286719,
2006.01,86616,
2006.02,176632,
2006.03,76455,
2006.04,229803,
2006.05,198837,
2006.06,155455,
2006.07,154357,
2006.08,128915,
2006.09,176735,
2006.10,129795,
2006.11,32579,
2006.12,-317493,
2007.01,105468,
2007.02,148019,
2007.03,146141,
2007.04,301991,
2007.05,212217,
2007.06,181667,
2007.07,126992,
2007.08,133329,
2007.09,251168,
2007.10,205260,
2007.11,124554,
2007.12,-319414,
2008.01,142921,
2008.02,204963,
2008.03,206556,
2008.04,294522,
2008.05,202984,
2008.06,309442,
2008.07,203218,
2008.08,239123,
2008.09,282841,
2008.10,61401,
2008.11,-40821,
2008.12,-654946,
2009.01,-101748,
2009.02,9179,
2009.03,34818,
2009.04,106205,
2009.05,131557,
2009.06,119495,
2009.07,138402,
2009.08,242126,
2009.09,252617,
2009.10,230956,
2009.11,246695,
2009.12,-415192,
2010.01,181419,
2010.02,209425,
2010.03,266415,
2010.04,305068,
2010.05,298041,
2010.06,212952,
2010.07,181796,
2010.08,299415,
2010.09,246875,
2010.10,204804,
2010.11,138247,
2010.12,-407510,
2011.01,152091,
2011.02,280799,
2011.03,92675,
2011.04,272225,
2011.05,252067,
2011.06,215393,
2011.07,140563,
2011.08,190446,
2011.09,209078,
2011.10,126143,
2011.11,42735,
2011.12,-408172,
2012.01,118895,
2012.02,150600,
2012.03,111746,
2012.04,216974,
2012.05,139679,
2012.06,120440,
2012.07,142496,
2012.08,100938,
2012.09,150334,
2012.10,66988,
2012.11,46095,
2012.12,-496944,
2013.01,28900,
2013.02,123446,
2013.03,112450,
2013.04,196913,
2013.05,72028,
2013.06,123836,
2013.07,41463,
2013.08,127648,
2013.09,211068,
2013.10,94893,
2013.11,47486,
2013.12,-449444,
2014.01,29595,
2014.02,260823,
2014.03,13117,
2014.04,105384,
2014.05,58836,
2014.06,25363,
2014.07,11796,
2014.08,101425,
2014.09,123783,
2014.10,-30282,
2014.11,8381,
2014.12,-555508,
2015.01,-81774,
2015.02,-2415,
2015.03,19282,
2015.04,-97828,
2015.05,-115599,
2015.06,-111199,
2015.07,-157905,
2015.08,-86543,
2015.09,-95602,
2015.10,-169131,
2015.11,-130629,
2015.12,-596208,
2016.01,-99694,
2016.02,-104582,
2016.03,-118776,
2016.04,-62844,
2016.05,-72615,
2016.06,-91032,
2016.07,-94724,
2016.08,-33953,
2016.09,-39282,
2016.10,-74748,
2016.11,-116747,
2016.12,-462366,
2017.01,-40864,
2017.02,35612,
2017.03,-63624,
2017.04,59856,
2017.05,34253,
2017.06,9821,
2017.07,35900,
2017.08,35457,
2017.09,34392,
2017.10,76599,
2017.11,-12292,
2017.12,-328539,
2018.01,77822,
2018.02,61188,
2018.03,56151,
2018.04,115898,
2018.05,33659,
2018.06,-661,
2018.07,47319,
2018.08,110431,
2018.09,137336,
2018.10,57733,
2018.11,58664,
2018.12,-334462,
2019.01,34313,
2019.02,173139,
2019.03,-43196,
2019.04,129601,
2019.05,32140,
2019.06,48436,
2019.07,43820,
2019.08,121387,
2019.09,157213,
2019.10,70852,
2019.11,99232,
